team,atk,dfn,tier,notes
Spain,1.60,0.58,Elite,SEED PRIOR - refresh from rolling xG
France,1.60,0.58,Elite,SEED PRIOR - refresh from rolling xG
Argentina,1.60,0.58,Elite,SEED PRIOR - refresh from rolling xG
Brazil,1.60,0.58,Elite,SEED PRIOR - refresh from rolling xG
England,1.60,0.58,Elite,SEED PRIOR - refresh from rolling xG
Portugal,1.60,0.58,Elite,SEED PRIOR - refresh from rolling xG
Germany,1.60,0.58,Elite,SEED PRIOR - refresh from rolling xG
Netherlands,1.60,0.58,Elite,SEED PRIOR - refresh from rolling xG
Belgium,1.25,0.80,Strong,SEED PRIOR - refresh from rolling xG
Croatia,1.25,0.80,Strong,SEED PRIOR - refresh from rolling xG
Uruguay,1.25,0.80,Strong,SEED PRIOR - refresh from rolling xG
Colombia,1.25,0.80,Strong,SEED PRIOR - refresh from rolling xG
Morocco,1.25,0.80,Strong,SEED PRIOR - refresh from rolling xG
Switzerland,1.25,0.80,Strong,SEED PRIOR - refresh from rolling xG
United States,1.25,0.80,Strong,SEED PRIOR - host (set neutral=False)
Japan,1.25,0.80,Strong,SEED PRIOR - refresh from rolling xG
Senegal,1.25,0.80,Strong,SEED PRIOR - refresh from rolling xG
Denmark,1.25,0.80,Strong,SEED PRIOR - refresh from rolling xG
Mexico,1.25,0.80,Strong,SEED PRIOR - host (set neutral=False)
Sweden,1.05,0.96,Upper-mid,SEED PRIOR - refresh from rolling xG
Ecuador,1.05,0.96,Upper-mid,SEED PRIOR - refresh from rolling xG
Korea Republic,1.05,0.96,Upper-mid,SEED PRIOR - refresh from rolling xG
Iran,1.05,0.96,Upper-mid,SEED PRIOR - refresh from rolling xG
Ivory Coast,1.05,0.96,Upper-mid,SEED PRIOR - refresh from rolling xG
Egypt,1.05,0.96,Upper-mid,SEED PRIOR - refresh from rolling xG
Australia,1.05,0.96,Upper-mid,SEED PRIOR - refresh from rolling xG
Turkey,1.05,0.96,Upper-mid,SEED PRIOR - refresh from rolling xG
Norway,1.05,0.96,Upper-mid,SEED PRIOR - refresh from rolling xG
Scotland,0.90,1.12,Mid,SEED PRIOR - refresh from rolling xG
Saudi Arabia,0.90,1.12,Mid,SEED PRIOR - refresh from rolling xG
Qatar,0.90,1.12,Mid,SEED PRIOR - host (set neutral=False if applicable)
Canada,0.90,1.12,Mid,SEED PRIOR - host (set neutral=False)
Tunisia,0.90,1.12,Mid,SEED PRIOR - refresh from rolling xG
Cabo Verde,0.90,1.12,Mid,SEED PRIOR - refresh from rolling xG
Bosnia and Herzegovina,0.90,1.12,Mid,SEED PRIOR - refresh from rolling xG
Czechia,0.90,1.12,Mid,SEED PRIOR - refresh from rolling xG
South Africa,0.70,1.45,Weak,SEED PRIOR - refresh from rolling xG
New Zealand,0.70,1.45,Weak,SEED PRIOR - refresh from rolling xG
Haiti,0.70,1.45,Weak,SEED PRIOR - refresh from rolling xG
Curacao,0.70,1.45,Weak,SEED PRIOR - refresh from rolling xG
